group,variant,placement,round,operations,elapsed_ns,ns_per_op,ops_per_second,producer_full,consumer_empty
queue,separated_uncached,different_cores,0,5000000,92538323.000000,18.507665,54031668.587727,19882,260141
queue,shared_cached,different_cores,0,5000000,106218512.000000,21.243702,47072773.905927,19412,394150
counters,shared_line,smt_siblings,0,5000000,46785805.000000,9.357161,106870021.794004,0,0
queue,separated_cached,different_cores,0,5000000,21828893.000000,4.365779,229054217.270661,41828,3681
counters,same_counter,different_cores,0,5000000,177237434.000000,35.447487,28210744.689522,0,0
counters,separate_lines,different_cores,0,5000000,21140874.000000,4.228175,236508670.360554,0,0
counters,shared_line,different_cores,0,5000000,176762862.000000,35.352572,28286484.748137,0,0
queue,shared_uncached,different_cores,0,5000000,69413375.000000,13.882675,72032227.218458,426908,83713
counters,single_writer,one_thread,0,5000000,21138610.000000,4.227722,236534001.053049,0,0
queue,separated_uncached,different_cores,1,5000000,87610106.000000,17.522021,57071041.553129,47995,177010
counters,shared_line,smt_siblings,1,5000000,59518911.000000,11.903782,84006913.365737,0,0
queue,separated_cached,different_cores,1,5000000,40581528.000000,8.116306,123208766.313580,2509,47300
queue,shared_uncached,different_cores,1,5000000,98736102.000000,19.747220,50640038.432953,237655,196892
counters,same_counter,different_cores,1,5000000,195954704.000000,39.190941,25516100.904625,0,0
queue,shared_cached,different_cores,1,5000000,107370326.000000,21.474065,46567801.237746,65146,346303
counters,single_writer,one_thread,1,5000000,21075489.000000,4.215098,237242419.381111,0,0
counters,separate_lines,different_cores,1,5000000,21081152.000000,4.216230,237178689.286050,0,0
counters,shared_line,different_cores,1,5000000,177545820.000000,35.509164,28161744.388012,0,0
queue,shared_uncached,different_cores,2,5000000,95970780.000000,19.194156,52099191.024601,70714,307767
counters,same_counter,different_cores,2,5000000,181746730.000000,36.349346,27510811.336193,0,0
queue,separated_cached,different_cores,2,5000000,25553981.000000,5.110796,195664229.381716,5413,29369
queue,shared_cached,different_cores,2,5000000,101083923.000000,20.216785,49463849.953667,104674,333177
queue,separated_uncached,different_cores,2,5000000,89207683.000000,17.841537,56048984.032014,2138,264423
counters,shared_line,smt_siblings,2,5000000,51512659.000000,10.302532,97063519.862176,0,0
counters,single_writer,one_thread,2,5000000,21127951.000000,4.225590,236653331.882491,0,0
counters,separate_lines,different_cores,2,5000000,21356971.000000,4.271394,234115596.261286,0,0
counters,shared_line,different_cores,2,5000000,197162896.000000,39.432579,25359741.114779,0,0
