group,variant,placement,round,operations,elapsed_ns,ns_per_op,ops_per_second,producer_full,consumer_empty
counters,shared_line,smt_siblings,0,5000000,46856404.000000,9.371281,106708999.691910,0,0
counters,separate_lines,different_cores,0,5000000,22804188.000000,4.560838,219257971.386659,0,0
queue,separated_uncached,different_cores,0,5000000,47114956.000000,9.422991,106123414.399453,266561,7088
counters,same_counter,different_cores,0,5000000,121000103.000000,24.200021,41322278.874424,0,0
queue,shared_cached,different_cores,0,5000000,103655349.000000,20.731070,48236777.438278,35665,453654
queue,separated_cached,different_cores,0,5000000,29702609.000000,5.940522,168335380.908795,152290,1876
counters,shared_line,different_cores,0,5000000,121317072.000000,24.263414,41214314.832788,0,0
counters,single_writer,one_thread,0,5000000,21073830.000000,4.214766,237261095.871040,0,0
queue,shared_uncached,different_cores,0,5000000,79363850.000000,15.872770,63000975.885116,717852,82868
queue,shared_cached,different_cores,1,5000000,103839253.000000,20.767851,48151347.930055,100735,425195
counters,shared_line,different_cores,1,5000000,141315174.000000,28.263035,35381904.564615,0,0
counters,shared_line,smt_siblings,1,5000000,54723066.000000,10.944613,91369149.528281,0,0
counters,separate_lines,different_cores,1,5000000,21107112.000000,4.221422,236886979.137648,0,0
counters,same_counter,different_cores,1,5000000,126331987.000000,25.266397,39578258.196794,0,0
counters,single_writer,one_thread,1,5000000,21044428.000000,4.208886,237592582.701701,0,0
queue,separated_uncached,different_cores,1,5000000,51828099.000000,10.365620,96472764.706265,280893,15216
queue,shared_uncached,different_cores,1,5000000,76198789.000000,15.239758,65617840.724477,608861,90403
queue,separated_cached,different_cores,1,5000000,32320796.000000,6.464159,154699160.255830,164877,2191
counters,shared_line,different_cores,2,5000000,117089177.000000,23.417835,42702495.039315,0,0
counters,single_writer,one_thread,2,5000000,21039809.000000,4.207962,237644742.877656,0,0
counters,shared_line,smt_siblings,2,5000000,46863942.000000,9.372788,106691835.697475,0,0
queue,separated_cached,different_cores,2,5000000,32789229.000000,6.557846,152489099.392974,168884,3177
queue,separated_uncached,different_cores,2,5000000,44450752.000000,8.890150,112484036.265573,310382,1884
queue,shared_cached,different_cores,2,5000000,104212614.000000,20.842523,47978836.803767,100140,427792
counters,same_counter,different_cores,2,5000000,118324229.000000,23.664846,42256772.279497,0,0
queue,shared_uncached,different_cores,2,5000000,83535031.000000,16.707006,59855128.323350,644238,131947
counters,separate_lines,different_cores,2,5000000,21356135.000000,4.271227,234124760.870822,0,0
counters,single_writer,one_thread,3,5000000,21145496.000000,4.229099,236456974.099827,0,0
queue,shared_cached,different_cores,3,5000000,96069047.000000,19.213809,52045899.862002,28580,401062
queue,separated_uncached,different_cores,3,5000000,49025784.000000,9.805157,101987150.271784,261679,12405
counters,same_counter,different_cores,3,5000000,119733217.000000,23.946643,41759506.052527,0,0
counters,shared_line,smt_siblings,3,5000000,46900765.000000,9.380153,106608069.186078,0,0
queue,separated_cached,different_cores,3,5000000,30940253.000000,6.188051,161601781.342900,175928,1483
queue,shared_uncached,different_cores,3,5000000,87535604.000000,17.507121,57119615.008311,347046,257144
counters,separate_lines,different_cores,3,5000000,21152014.000000,4.230403,236384109.806281,0,0
counters,shared_line,different_cores,3,5000000,124177007.000000,24.835401,40265103.184521,0,0
counters,same_counter,different_cores,4,5000000,118948171.000000,23.789634,42035114.604663,0,0
queue,shared_cached,different_cores,4,5000000,93807212.000000,18.761442,53300805.912449,167021,294265
counters,single_writer,one_thread,4,5000000,21084181.000000,4.216836,237144615.671816,0,0
queue,shared_uncached,different_cores,4,5000000,81406666.000000,16.281333,61420031.622472,532911,144433
counters,shared_line,smt_siblings,4,5000000,46860467.000000,9.372093,106699747.571871,0,0
queue,separated_uncached,different_cores,4,5000000,45140093.000000,9.028019,110766276.002134,278235,3172
counters,shared_line,different_cores,4,5000000,121140724.000000,24.228145,41274311.683988,0,0
counters,separate_lines,different_cores,4,5000000,21118932.000000,4.223786,236754396.481792,0,0
queue,separated_cached,different_cores,4,5000000,35757733.000000,7.151547,139829893.578544,126134,7547
queue,shared_cached,different_cores,5,5000000,85526758.000000,17.105352,58461236.189965,94068,288962
queue,separated_uncached,different_cores,5,5000000,45516597.000000,9.103319,109850039.975528,306076,3543
counters,same_counter,different_cores,5,5000000,120387810.000000,24.077562,41532444.190155,0,0
counters,separate_lines,different_cores,5,5000000,21121200.000000,4.224240,236728973.732553,0,0
counters,shared_line,smt_siblings,5,5000000,46806464.000000,9.361293,106822852.501740,0,0
queue,shared_uncached,different_cores,5,5000000,77100288.000000,15.420058,64850600.817470,632658,88588
counters,single_writer,one_thread,5,5000000,21133582.000000,4.226716,236590276.082871,0,0
queue,separated_cached,different_cores,5,5000000,42412124.000000,8.482425,117890818.200946,142192,10284
counters,shared_line,different_cores,5,5000000,127259669.000000,25.451934,39289745.441661,0,0
queue,separated_uncached,different_cores,6,5000000,50980357.000000,10.196071,98076990.712325,272592,15569
queue,separated_cached,different_cores,6,5000000,58940611.000000,11.788122,84831153.175524,43701,27108
counters,single_writer,one_thread,6,5000000,21114617.000000,4.222923,236802779.799416,0,0
counters,same_counter,different_cores,6,5000000,119640070.000000,23.928014,41792018.343018,0,0
queue,shared_cached,different_cores,6,5000000,95467196.000000,19.093439,52374011.278178,27983,402678
counters,shared_line,smt_siblings,6,5000000,46797048.000000,9.359410,106844346.250216,0,0
counters,separate_lines,different_cores,6,5000000,21172985.000000,4.234597,236149980.741969,0,0
counters,shared_line,different_cores,6,5000000,115927388.000000,23.185478,43130446.448082,0,0
queue,shared_uncached,different_cores,6,5000000,76117219.000000,15.223444,65688159.206132,719829,53103
queue,shared_uncached,different_cores,7,5000000,75167465.000000,15.033493,66518140.527953,601006,85317
counters,single_writer,one_thread,7,5000000,21078741.000000,4.215748,237205817.937608,0,0
counters,shared_line,different_cores,7,5000000,119984486.000000,23.996897,41672054.168736,0,0
queue,separated_uncached,different_cores,7,5000000,48494903.000000,9.698981,103103618.951460,251806,11682
queue,separated_cached,different_cores,7,5000000,40241138.000000,8.048228,124250959.304381,125511,10689
queue,shared_cached,different_cores,7,5000000,105110886.000000,21.022177,47568812.235110,37717,466997
counters,separate_lines,different_cores,7,5000000,21058653.000000,4.211731,237432090.267122,0,0
counters,shared_line,smt_siblings,7,5000000,46868671.000000,9.373734,106681070.602578,0,0
counters,same_counter,different_cores,7,5000000,122904394.000000,24.580879,40682028.016020,0,0
queue,separated_cached,different_cores,8,5000000,32006381.000000,6.401276,156218848.985145,163016,4717
queue,shared_uncached,different_cores,8,5000000,73857355.000000,14.771471,67698064.735733,680408,39270
counters,shared_line,smt_siblings,8,5000000,46877777.000000,9.375555,106660347.823234,0,0
queue,shared_cached,different_cores,8,5000000,87751676.000000,17.550335,56978968.697988,87936,312206
counters,single_writer,one_thread,8,5000000,21054538.000000,4.210908,237478495.134873,0,0
counters,shared_line,different_cores,8,5000000,123382254.000000,24.676451,40524466.346676,0,0
queue,separated_uncached,different_cores,8,5000000,46471807.000000,9.294361,107592114.935406,317281,6405
counters,separate_lines,different_cores,8,5000000,21121154.000000,4.224231,236729489.307260,0,0
counters,same_counter,different_cores,8,5000000,119500866.000000,23.900173,41840700.970318,0,0
queue,separated_cached,different_cores,9,5000000,53211846.000000,10.642369,93964039.511052,55655,24718
counters,separate_lines,different_cores,9,5000000,21065622.000000,4.213124,237353542.183563,0,0
queue,shared_uncached,different_cores,9,5000000,91828846.000000,18.365769,54449121.575589,379711,286356
queue,shared_cached,different_cores,9,5000000,107870820.000000,21.574164,46351738.125287,23622,506495
counters,same_counter,different_cores,9,5000000,119664344.000000,23.932869,41783540.801427,0,0
counters,shared_line,smt_siblings,9,5000000,46903157.000000,9.380631,106602632.313215,0,0
counters,single_writer,one_thread,9,5000000,21098662.000000,4.219732,236981852.214136,0,0
counters,shared_line,different_cores,9,5000000,118343972.000000,23.668794,42249722.698170,0,0
queue,separated_uncached,different_cores,9,5000000,52005249.000000,10.401050,96144141.142368,259957,18456
counters,single_writer,one_thread,10,5000000,21063149.000000,4.212630,237381409.588851,0,0
counters,shared_line,different_cores,10,5000000,117331437.000000,23.466287,42614325.093453,0,0
queue,shared_uncached,different_cores,10,5000000,79472605.000000,15.894521,62914761.633899,659668,95775
queue,separated_uncached,different_cores,10,5000000,47767712.000000,9.553542,104673215.246315,309169,9104
queue,shared_cached,different_cores,10,5000000,93102385.000000,18.620477,53704317.026895,63244,363552
counters,shared_line,smt_siblings,10,5000000,46919804.000000,9.383961,106564810.032028,0,0
counters,separate_lines,different_cores,10,5000000,21180584.000000,4.236117,236065256.746462,0,0
queue,separated_cached,different_cores,10,5000000,42287666.000000,8.457533,118237785.930299,156319,10115
counters,same_counter,different_cores,10,5000000,123780593.000000,24.756119,40394054.340974,0,0
queue,shared_uncached,different_cores,11,5000000,81573776.000000,16.314755,61294208.079812,809681,72318
counters,shared_line,different_cores,11,5000000,124646878.000000,24.929376,40113319.163918,0,0
queue,separated_cached,different_cores,11,5000000,36568262.000000,7.313652,136730588.946229,161232,8202
queue,shared_cached,different_cores,11,5000000,103781287.000000,20.756257,48178242.383909,18044,466091
queue,separated_uncached,different_cores,11,5000000,46622882.000000,9.324576,107243477.569662,277758,6921
counters,same_counter,different_cores,11,5000000,119434590.000000,23.886918,41863918.986953,0,0
counters,shared_line,smt_siblings,11,5000000,46862178.000000,9.372436,106695851.823191,0,0
counters,separate_lines,different_cores,11,5000000,21118305.000000,4.223661,236761425.692071,0,0
counters,single_writer,one_thread,11,5000000,21051205.000000,4.210241,237516094.684366,0,0
counters,single_writer,one_thread,12,5000000,21037037.000000,4.207407,237676056.756472,0,0
queue,shared_cached,different_cores,12,5000000,108430636.000000,21.686127,46112428.963342,7297,542067
queue,separated_uncached,different_cores,12,5000000,45765173.000000,9.153035,109253383.571827,389018,644
counters,same_counter,different_cores,12,5000000,122728063.000000,24.545613,40740478.402238,0,0
counters,shared_line,different_cores,12,5000000,119307591.000000,23.861518,41908481.749497,0,0
counters,separate_lines,different_cores,12,5000000,21098741.000000,4.219748,236980964.883165,0,0
queue,separated_cached,different_cores,12,5000000,41010359.000000,8.202072,121920415.278491,121934,12186
counters,shared_line,smt_siblings,12,5000000,46872562.000000,9.374512,106672214.759671,0,0
queue,shared_uncached,different_cores,12,5000000,80648832.000000,16.129766,61997178.086844,699955,82728
queue,shared_uncached,different_cores,13,5000000,72882793.000000,14.576559,68603298.449334,664857,38801
queue,shared_cached,different_cores,13,5000000,84035766.000000,16.807153,59498475.922740,48919,301327
counters,separate_lines,different_cores,13,5000000,21047430.000000,4.209486,237558694.814521,0,0
counters,single_writer,one_thread,13,5000000,21050999.000000,4.210200,237518418.959594,0,0
queue,separated_uncached,different_cores,13,5000000,48076568.000000,9.615314,104000768.108073,309187,7965
counters,shared_line,different_cores,13,5000000,123156620.000000,24.631324,40598710.812297,0,0
queue,separated_cached,different_cores,13,5000000,30492383.000000,6.098477,163975377.063839,147179,3929
counters,shared_line,smt_siblings,13,5000000,46859784.000000,9.371957,106701302.763154,0,0
counters,same_counter,different_cores,13,5000000,117266294.000000,23.453259,42637997.922916,0,0
queue,separated_cached,different_cores,14,5000000,40099743.000000,8.019949,124689078.431251,165274,8808
counters,separate_lines,different_cores,14,5000000,21160930.000000,4.232186,236284511.124984,0,0
counters,same_counter,different_cores,14,5000000,123766749.000000,24.753350,40398572.640863,0,0
counters,single_writer,one_thread,14,5000000,21041793.000000,4.208359,237622335.701145,0,0
counters,shared_line,different_cores,14,5000000,123069820.000000,24.613964,40627344.705631,0,0
queue,separated_uncached,different_cores,14,5000000,48855416.000000,9.771083,102342798.595759,271230,11528
queue,shared_cached,different_cores,14,5000000,87860536.000000,17.572107,56908371.239620,76446,309171
queue,shared_uncached,different_cores,14,5000000,83331862.000000,16.666372,60001059.378704,411081,202784
counters,shared_line,smt_siblings,14,5000000,46844902.000000,9.368980,106735200.342611,0,0
